Real;User;CPU%;System;Exit
1.43;2.60;195%;0.19;0
1.45;2.64;195%;0.19;0
1.44;2.56;195%;0.26;0
1.43;2.58;193%;0.19;0
1.46;2.65;194%;0.18;0
1.45;2.68;197%;0.20;0
1.44;2.58;193%;0.21;0
1.45;2.61;193%;0.20;0
1.46;2.60;193%;0.24;0
1.43;2.55;192%;0.20;0
1.42;2.56;195%;0.22;0
1.45;2.54;195%;0.29;0
1.45;2.62;195%;0.22;0
1.44;2.51;193%;0.27;0
1.45;2.54;192%;0.25;0
1.45;2.64;193%;0.17;0
1.44;2.54;193%;0.24;0
1.45;2.61;194%;0.21;0
1.45;2.63;195%;0.20;0
1.44;2.49;191%;0.27;0
1.44;2.57;195%;0.24;0
1.46;2.63;195%;0.22;0
1.45;2.60;193%;0.21;0
1.45;2.54;192%;0.25;0
1.46;2.61;193%;0.22;0
1.43;2.55;192%;0.20;0
1.47;2.61;191%;0.20;0
1.46;2.55;193%;0.29;0
1.46;2.58;193%;0.24;0
1.45;2.54;193%;0.26;0
1.42;2.50;193%;0.25;0
1.45;2.52;192%;0.26;0
1.44;2.61;195%;0.20;0
1.46;2.58;189%;0.20;0
1.45;2.64;193%;0.16;0
1.44;2.57;191%;0.18;0
1.45;2.62;198%;0.26;0
1.45;2.62;192%;0.18;0
1.44;2.58;192%;0.19;0
1.45;2.60;194%;0.22;0
1.45;2.52;193%;0.28;0
1.44;2.52;191%;0.22;0
1.43;2.47;190%;0.26;0
1.45;2.45;191%;0.32;0
1.45;2.56;191%;0.22;0
1.44;2.54;192%;0.24;0
1.45;2.59;194%;0.23;0
1.43;2.51;192%;0.24;0
1.45;2.58;194%;0.24;0
1.44;2.63;196%;0.20;0
1.44;2.64;196%;0.20;0
1.45;2.55;194%;0.26;0
1.45;2.63;194%;0.19;0
1.45;2.58;192%;0.22;0
1.46;2.57;194%;0.26;0
1.44;2.60;191%;0.17;0
1.44;2.60;198%;0.27;0
1.43;2.53;192%;0.22;0
1.46;2.54;191%;0.25;0
1.44;2.58;192%;0.19;0
1.44;2.50;190%;0.24;0
1.47;2.51;185%;0.22;0
1.42;2.63;194%;0.14;0
1.46;2.57;192%;0.24;0
1.44;2.56;193%;0.23;0
1.44;2.63;193%;0.16;0
1.43;2.59;194%;0.19;0
1.44;2.52;189%;0.21;0
1.42;2.57;195%;0.22;0
1.46;2.58;191%;0.21;0
1.43;2.53;194%;0.26;0
1.46;2.65;193%;0.18;0
1.44;2.57;194%;0.23;0
1.43;2.52;192%;0.23;0
1.43;2.56;192%;0.20;0
1.44;2.59;194%;0.21;0
1.44;2.55;191%;0.21;0
1.42;2.58;195%;0.21;0
1.44;2.63;195%;0.19;0
1.44;2.53;191%;0.23;0
1.43;2.53;194%;0.25;0
1.45;2.64;195%;0.20;0
1.42;2.52;192%;0.23;0
1.45;2.64;194%;0.18;0
1.45;2.59;191%;0.19;0
1.43;2.64;197%;0.19;0
1.43;2.50;191%;0.24;0
1.45;2.57;194%;0.26;0
1.44;2.63;199%;0.24;0
1.43;2.51;190%;0.22;0
1.44;2.58;192%;0.19;0
1.43;2.60;193%;0.16;0
1.44;2.57;193%;0.21;0
1.43;2.60;195%;0.20;0
1.43;2.60;196%;0.20;0
1.44;2.56;195%;0.25;0
1.44;2.54;194%;0.25;0
1.45;2.55;191%;0.23;0
1.43;2.56;194%;0.22;0
1.45;2.64;197%;0.23;0
