Real;User;CPU%;System;Exit
1.70;4.07;245%;0.11;42
1.59;3.78;241%;0.08;42
1.59;3.76;243%;0.12;42
1.43;3.13;226%;0.11;0
1.59;3.82;245%;0.08;42
1.65;3.81;237%;0.10;42
1.62;3.83;241%;0.07;42
1.66;3.94;242%;0.10;0
1.41;3.11;227%;0.10;0
1.61;3.77;241%;0.13;42
1.49;3.43;235%;0.07;0
1.62;3.83;242%;0.09;0
1.60;3.70;237%;0.11;42
1.61;3.84;242%;0.07;42
1.60;3.76;238%;0.07;42
1.60;3.67;235%;0.10;42
1.59;3.72;238%;0.08;42
1.60;3.75;241%;0.11;42
1.63;3.78;238%;0.11;42
1.58;3.73;240%;0.08;42
1.59;3.68;237%;0.09;0
1.59;3.79;243%;0.10;42
1.61;3.79;240%;0.09;42
1.61;3.80;237%;0.04;42
1.63;3.88;243%;0.09;42
1.61;3.80;240%;0.08;42
1.60;3.75;238%;0.07;42
1.60;3.79;241%;0.08;42
1.60;3.75;240%;0.11;42
1.60;3.81;242%;0.08;42
1.60;3.77;242%;0.11;42
1.61;3.80;240%;0.07;42
1.60;3.76;240%;0.08;42
1.61;3.85;243%;0.08;42
1.62;3.73;237%;0.12;42
1.60;3.79;241%;0.08;42
1.61;3.79;241%;0.08;42
1.61;3.82;241%;0.08;0
1.34;2.83;219%;0.10;0
1.61;3.78;240%;0.09;42
1.61;3.76;237%;0.08;42
1.61;3.74;238%;0.10;42
1.62;3.76;237%;0.08;42
1.61;3.89;245%;0.06;42
1.60;3.75;240%;0.10;42
1.62;3.78;239%;0.10;42
1.66;3.98;248%;0.14;42
1.59;3.84;247%;0.11;42
1.63;3.83;241%;0.11;42
1.59;3.70;238%;0.10;42
1.60;3.80;243%;0.08;42
1.60;3.74;239%;0.10;42
1.60;3.75;240%;0.10;42
1.60;3.81;242%;0.08;42
1.60;3.75;239%;0.07;42
1.61;3.74;238%;0.10;42
1.42;3.19;229%;0.07;0
1.61;3.76;240%;0.09;42
1.59;3.78;244%;0.12;42
1.62;3.81;241%;0.10;42
1.62;3.81;240%;0.08;42
1.60;3.80;241%;0.07;42
1.64;3.77;234%;0.07;42
1.58;3.68;236%;0.07;42
1.67;4.05;247%;0.09;42
1.61;3.91;246%;0.05;42
1.60;3.84;245%;0.08;42
1.60;3.75;240%;0.11;0
1.62;3.74;239%;0.13;42
1.62;3.77;236%;0.07;42
1.60;3.79;242%;0.09;42
1.62;3.80;240%;0.10;42
1.60;3.78;242%;0.08;42
1.60;3.76;240%;0.10;42
1.59;3.73;238%;0.07;42
1.61;3.70;237%;0.12;42
1.59;3.78;241%;0.07;42
1.61;3.77;240%;0.10;42
1.61;3.80;240%;0.07;42
1.63;3.89;245%;0.13;42
1.61;3.77;240%;0.10;42
1.59;3.81;243%;0.08;42
1.62;3.81;240%;0.07;42
1.62;3.81;239%;0.06;42
1.60;3.83;243%;0.06;42
1.61;3.86;245%;0.10;42
1.64;3.81;236%;0.06;42
1.61;3.79;240%;0.08;42
1.61;3.80;242%;0.11;42
1.60;3.83;244%;0.08;42
1.61;3.86;243%;0.07;42
1.59;3.80;242%;0.07;42
1.59;3.79;243%;0.10;42
1.59;3.77;242%;0.09;42
1.61;3.78;240%;0.09;42
1.61;3.76;239%;0.11;42
1.60;3.85;243%;0.06;42
1.63;3.81;238%;0.08;42
1.34;2.93;224%;0.08;0
1.68;4.01;244%;0.09;42
