Real;User;CPU%;System;Exit
1.89;3.97;226%;0.31;0
1.91;4.08;226%;0.25;0
1.89;4.00;226%;0.29;0
1.93;4.09;226%;0.27;0
1.90;4.14;227%;0.18;0
1.90;4.11;228%;0.24;0
1.94;4.19;227%;0.23;0
1.88;3.99;225%;0.24;0
1.93;4.13;225%;0.22;0
1.90;4.08;226%;0.24;0
1.88;4.04;226%;0.22;0
1.88;4.04;225%;0.20;0
1.87;3.97;226%;0.27;0
1.89;4.02;224%;0.22;0
1.89;4.01;226%;0.29;0
1.90;4.10;228%;0.24;0
1.89;4.02;225%;0.23;0
1.89;4.05;226%;0.23;0
1.94;4.13;224%;0.22;0
1.91;4.07;226%;0.26;0
1.91;4.04;226%;0.27;0
1.87;4.00;226%;0.23;0
1.89;4.03;226%;0.24;0
1.88;4.00;226%;0.26;0
1.88;4.09;227%;0.20;0
1.89;4.10;228%;0.22;0
1.89;4.06;226%;0.23;0
1.91;4.11;226%;0.20;0
1.91;4.08;228%;0.27;0
1.94;4.19;227%;0.23;0
1.90;4.07;226%;0.23;0
1.94;4.03;223%;0.30;0
1.89;4.04;227%;0.25;0
1.90;4.07;228%;0.27;0
1.89;4.07;227%;0.25;0
1.95;4.21;227%;0.22;0
1.89;4.02;226%;0.27;0
1.88;4.05;224%;0.19;0
1.86;3.97;225%;0.23;0
1.89;3.99;226%;0.29;0
1.88;3.87;224%;0.35;0
1.95;4.19;225%;0.21;0
1.91;3.97;222%;0.28;0
1.87;3.99;225%;0.22;0
1.89;4.05;226%;0.23;0
1.87;4.02;226%;0.21;0
1.91;3.99;224%;0.30;0
1.87;3.93;224%;0.28;0
1.92;4.10;226%;0.25;0
1.93;4.20;228%;0.21;0
1.88;4.02;225%;0.22;0
1.88;4.02;225%;0.23;0
1.91;4.08;226%;0.26;0
1.90;4.07;227%;0.26;0
1.90;4.09;227%;0.24;0
1.89;4.01;225%;0.24;0
1.91;4.12;227%;0.24;0
1.90;3.95;222%;0.28;0
1.94;4.05;222%;0.26;0
1.89;3.97;224%;0.27;0
1.87;3.95;224%;0.26;0
1.88;3.96;225%;0.27;0
1.88;4.07;226%;0.18;0
1.90;4.07;225%;0.22;0
1.91;4.12;226%;0.21;0
1.89;4.08;226%;0.21;0
1.90;4.06;226%;0.26;0
1.93;4.17;226%;0.21;0
1.87;4.03;226%;0.22;0
1.89;3.99;226%;0.29;0
1.95;4.24;229%;0.23;0
1.87;3.95;225%;0.26;0
1.89;4.08;227%;0.22;0
1.93;4.09;225%;0.25;0
1.92;4.11;226%;0.23;0
1.92;4.10;227%;0.27;0
1.86;3.96;225%;0.24;0
1.87;3.93;223%;0.27;0
1.93;4.10;225%;0.26;0
1.89;4.07;226%;0.22;0
1.88;4.05;226%;0.21;0
1.90;4.07;225%;0.22;0
1.89;4.06;225%;0.22;0
1.90;4.10;228%;0.25;0
1.93;4.08;225%;0.28;0
1.89;4.01;228%;0.31;0
1.88;4.01;225%;0.24;0
1.88;4.06;227%;0.22;0
1.88;4.04;226%;0.22;0
1.89;4.02;225%;0.23;0
1.89;4.02;224%;0.22;0
1.93;4.09;225%;0.25;0
1.87;4.01;225%;0.22;0
1.89;4.00;226%;0.28;0
1.91;4.07;224%;0.21;0
1.89;3.99;223%;0.24;0
1.89;4.01;225%;0.25;0
1.94;4.12;224%;0.24;0
1.89;4.02;225%;0.25;0
1.89;4.04;227%;0.25;0
