Real;User;CPU%;System;Exit
21.55;34.89;167%;1.12;42
20.86;33.83;166%;0.99;42
21.13;34.36;167%;1.07;42
21.36;33.98;163%;1.03;42
21.76;36.83;173%;1.03;42
20.68;33.62;167%;1.06;42
21.36;36.22;174%;0.98;42
21.46;36.29;175%;1.28;42
21.08;35.37;173%;1.18;42
21.61;36.77;175%;1.22;42
21.02;33.86;166%;1.08;42
22.78;40.88;183%;0.92;42
21.75;36.87;174%;1.07;42
21.58;35.95;171%;1.17;42
21.32;33.39;161%;1.13;42
21.77;36.90;174%;1.18;42
22.08;36.66;170%;1.02;42
23.00;40.70;181%;1.00;42
20.95;34.26;168%;1.01;42
20.95;33.30;163%;0.91;42
20.65;32.88;164%;1.01;42
21.80;36.49;172%;1.08;42
21.05;34.14;167%;1.15;42
22.09;37.32;174%;1.12;42
21.32;34.18;165%;1.12;42
21.58;36.21;172%;0.97;42
22.24;37.22;172%;1.21;42
21.65;36.85;175%;1.18;42
21.56;37.29;177%;1.02;42
21.27;35.96;174%;1.09;42
21.32;36.25;175%;1.06;42
21.16;34.24;167%;1.14;42
21.80;37.42;176%;0.97;42
21.00;33.58;164%;0.89;42
20.70;33.85;168%;1.08;42
22.38;37.91;174%;1.11;42
22.21;37.86;175%;1.08;42
21.79;35.77;170%;1.29;42
22.02;37.13;173%;1.02;42
22.63;39.01;177%;1.08;42
21.78;35.85;169%;1.11;42
21.96;36.39;171%;1.17;42
21.33;34.37;166%;1.05;42
22.40;38.35;176%;1.09;42
20.60;33.58;168%;1.13;42
21.93;37.11;174%;1.09;42
21.63;36.09;171%;0.99;42
20.93;33.91;165%;0.80;42
21.27;35.60;172%;1.15;42
20.86;33.50;165%;0.99;42
21.04;33.37;163%;0.94;42
21.11;34.50;168%;1.09;42
22.13;37.85;176%;1.11;42
22.66;40.18;182%;1.17;42
22.77;39.53;178%;1.07;42
20.79;32.84;163%;1.08;42
20.87;34.88;172%;1.02;42
20.82;33.52;166%;1.09;42
21.57;37.37;178%;1.02;42
22.56;40.61;185%;1.25;42
22.13;38.00;176%;1.03;42
21.15;34.43;167%;1.04;42
21.92;37.04;173%;1.07;42
20.76;33.54;167%;1.14;42
20.87;33.11;163%;0.98;42
21.18;36.77;178%;0.99;42
21.80;36.12;170%;1.10;42
20.10;33.32;171%;1.13;42
22.06;35.98;168%;1.26;42
22.14;37.71;175%;1.09;42
20.12;33.10;168%;0.86;42
21.79;36.62;173%;1.17;42
20.47;33.07;167%;1.15;42
21.42;36.33;175%;1.16;42
21.39;36.77;176%;1.02;42
21.57;37.25;177%;1.01;42
21.12;33.12;162%;1.12;42
20.47;33.38;168%;1.13;42
21.21;37.23;180%;0.97;42
21.96;39.06;182%;1.03;42
21.32;36.70;177%;1.15;42
22.18;37.86;175%;1.08;42
21.37;34.11;163%;0.85;42
21.01;33.85;165%;0.86;42
21.60;35.97;172%;1.21;42
21.63;36.28;172%;1.10;42
20.61;34.15;170%;1.01;42
21.37;34.70;166%;0.95;42
20.96;34.02;167%;1.00;42
21.01;32.95;161%;0.97;42
21.69;36.34;172%;1.09;42
21.47;34.39;165%;1.07;42
21.16;34.87;170%;1.16;42
20.34;34.08;172%;0.90;42
21.01;33.54;163%;0.88;42
20.89;34.05;168%;1.16;42
20.95;33.97;167%;1.05;42
22.75;39.74;179%;1.08;42
20.21;33.16;168%;0.92;42
21.59;34.50;165%;1.23;42
