Real;User;CPU%;System;Exit
118.74;192.92;165%;3.43;42
121.82;196.21;163%;3.39;42
117.69;183.01;158%;3.73;42
118.78;190.43;163%;3.55;42
121.37;198.77;166%;3.49;42
118.63;194.24;166%;3.83;42
125.88;203.15;164%;3.42;42
124.38;201.53;164%;3.51;42
116.29;187.13;164%;3.89;42
115.55;193.04;169%;3.18;42
122.79;199.21;165%;3.79;42
123.84;200.37;164%;3.44;42
121.28;194.88;163%;3.69;42
116.12;175.63;154%;3.73;42
120.22;190.97;162%;4.01;42
120.08;191.25;162%;3.46;42
121.75;199.48;167%;4.05;42
119.31;187.27;160%;4.33;42
123.66;204.12;168%;3.92;42
121.15;197.90;166%;3.86;42
120.75;199.43;168%;3.55;42
115.75;175.74;154%;3.22;42
120.57;197.27;166%;3.59;42
123.11;200.12;166%;4.48;42
112.55;174.61;158%;3.30;42
118.48;192.59;165%;3.96;42
121.20;193.19;162%;3.39;42
114.04;193.84;173%;3.89;42
122.29;193.36;161%;3.81;42
123.12;202.53;167%;3.66;42
121.85;190.71;159%;3.60;42
127.56;201.54;160%;3.74;42
121.61;200.45;168%;3.98;42
124.19;197.49;162%;4.19;42
117.67;189.46;164%;3.82;42
119.40;194.10;165%;3.67;42
118.93;196.61;168%;3.41;42
111.63;177.85;162%;3.47;42
119.18;193.47;165%;3.54;42
122.15;197.83;164%;3.59;42
123.81;203.50;167%;4.14;42
114.55;186.06;165%;3.90;42
117.42;194.35;168%;3.26;42
121.91;198.51;165%;3.16;42
119.28;196.38;167%;3.70;42
121.32;195.90;164%;3.88;42
117.51;176.82;154%;4.62;42
120.20;195.21;165%;3.27;42
120.26;193.98;164%;3.34;42
121.90;192.41;160%;3.75;42
118.65;192.44;165%;3.34;42
123.47;197.79;163%;3.81;42
115.46;176.98;156%;3.23;42
124.30;202.04;165%;3.78;42
117.98;190.35;165%;4.37;42
118.30;201.55;173%;4.16;42
122.55;202.43;168%;3.46;42
120.34;193.11;163%;3.63;42
119.92;194.15;164%;3.67;42
122.46;195.91;162%;3.55;42
119.16;180.90;154%;3.49;42
115.83;186.97;164%;3.46;42
122.07;201.27;167%;3.22;42
123.20;199.32;164%;3.39;42
119.26;193.57;165%;3.77;42
119.45;190.60;162%;3.67;42
120.77;196.47;165%;3.42;42
124.24;211.46;173%;3.66;42
124.24;198.06;162%;3.61;42
127.25;209.18;167%;3.49;42
114.61;190.25;169%;3.98;42
119.42;193.93;165%;3.95;42
118.46;193.88;166%;3.59;42
120.10;197.49;167%;3.51;42
120.17;195.68;166%;4.34;42
120.59;197.98;167%;3.61;42
121.44;191.11;160%;3.88;42
116.78;189.11;164%;3.49;42
124.15;210.22;172%;4.05;42
118.09;186.75;161%;4.20;42
125.51;199.37;161%;3.48;42
120.43;192.96;163%;3.42;42
120.87;198.37;167%;4.18;42
125.52;196.95;159%;3.29;42
112.33;174.07;157%;2.98;42
124.86;205.45;167%;3.47;42
121.22;196.06;164%;3.85;42
122.01;198.00;165%;3.84;42
116.46;183.80;161%;3.76;42
119.09;195.14;166%;3.49;42
126.69;211.31;169%;4.04;42
116.98;190.53;166%;4.06;42
121.04;197.71;166%;3.88;42
120.89;192.83;163%;4.37;42
120.55;193.93;163%;3.34;42
118.99;190.77;163%;3.66;42
120.88;193.80;163%;4.08;42
115.04;174.41;155%;4.24;42
121.33;200.31;168%;3.87;42
116.76;196.57;171%;3.34;42
