Real;User;CPU%;System;Exit
3.81;9.39;252%;0.23;42
3.71;9.39;257%;0.19;42
3.83;9.42;252%;0.25;42
3.99;9.81;252%;0.24;42
3.92;9.35;243%;0.22;42
3.85;9.49;253%;0.26;42
3.75;9.27;252%;0.19;42
3.75;9.31;253%;0.20;42
3.92;9.82;256%;0.22;42
4.05;10.14;257%;0.27;42
3.86;9.67;258%;0.30;42
3.76;9.49;257%;0.17;42
3.83;9.25;246%;0.18;42
3.96;9.53;248%;0.29;42
3.86;9.70;256%;0.20;42
3.88;9.15;242%;0.27;42
3.97;9.91;254%;0.21;42
3.83;9.57;256%;0.27;42
3.92;10.35;267%;0.16;42
3.82;9.46;255%;0.29;42
3.83;8.85;236%;0.23;42
3.83;9.47;255%;0.35;42
3.71;9.17;253%;0.25;42
3.90;9.35;246%;0.23;42
3.88;9.14;241%;0.22;42
4.01;9.67;247%;0.26;42
3.88;9.47;252%;0.33;42
3.87;9.66;255%;0.23;42
3.94;9.60;250%;0.27;42
3.85;9.74;258%;0.22;42
3.84;9.50;252%;0.21;42
3.83;9.10;243%;0.21;42
3.70;9.04;250%;0.23;42
3.77;9.38;256%;0.32;42
3.86;9.63;255%;0.24;42
3.97;9.94;257%;0.28;42
3.82;9.35;251%;0.24;42
3.85;9.34;247%;0.21;42
3.89;9.21;244%;0.29;42
3.85;9.67;258%;0.30;42
3.80;9.43;253%;0.21;42
3.82;9.49;256%;0.32;42
3.70;9.13;251%;0.19;42
3.80;9.43;254%;0.22;42
3.88;9.92;262%;0.29;42
3.73;9.31;256%;0.25;42
3.97;9.84;254%;0.26;42
3.91;9.52;251%;0.31;42
3.84;9.64;257%;0.25;42
3.91;9.45;251%;0.36;42
3.99;9.85;254%;0.32;42
3.70;8.94;246%;0.19;42
3.72;9.01;248%;0.23;42
3.71;8.97;246%;0.15;42
3.83;9.58;254%;0.18;42
3.88;9.77;257%;0.24;42
3.95;9.38;243%;0.25;42
3.94;9.74;252%;0.20;42
3.72;9.14;252%;0.25;42
3.83;9.30;249%;0.28;42
3.73;9.34;256%;0.23;42
3.72;9.13;251%;0.22;42
3.89;9.27;244%;0.26;42
3.92;9.23;242%;0.28;42
3.77;9.16;247%;0.19;42
3.92;9.54;248%;0.18;42
3.82;9.35;252%;0.28;42
3.97;9.51;244%;0.22;42
3.81;9.27;247%;0.17;42
3.89;10.26;270%;0.27;42
3.91;9.53;249%;0.23;42
3.80;9.50;255%;0.24;42
3.75;8.98;244%;0.19;42
3.69;8.64;241%;0.25;42
3.85;9.05;241%;0.25;42
3.72;9.13;250%;0.21;42
3.92;9.16;238%;0.22;42
3.90;9.44;249%;0.31;42
3.89;9.56;252%;0.26;42
3.79;9.37;254%;0.26;42
3.88;9.92;263%;0.30;42
3.86;9.38;249%;0.24;42
3.90;9.62;253%;0.26;42
3.90;9.83;256%;0.18;42
3.90;9.58;250%;0.20;42
3.86;9.52;252%;0.21;42
3.74;8.99;246%;0.23;42
3.81;9.33;251%;0.25;42
3.83;9.36;250%;0.23;42
3.92;9.22;240%;0.22;42
3.85;9.32;248%;0.24;42
3.93;9.68;252%;0.23;42
3.87;9.45;249%;0.22;42
3.86;9.91;261%;0.21;42
3.93;9.14;239%;0.28;42
3.75;8.96;244%;0.19;42
3.93;10.23;266%;0.27;42
3.77;9.07;247%;0.24;42
3.80;9.51;257%;0.28;42
3.73;9.15;252%;0.27;42
